AutoInc, Location-zipcode, Location-state, Location-city, Location-areacode, Location-prefix, Location-extension, Location-street, Name-First, Name-Last, Name-Gender,
10.0, 33317, Florida, Plantation, 954, 584, 6153, 194 61ST, MARY, Askew, Female,
11.0, 85607, Arizona, Douglas, 520, 368, 9997, 3 GILA, MARGARET, Anderson, Female,
12.0, 08232, New Jersey, PLEASANTVILLE, 609, 796, 8995, 29 REDWOOD, ABRAHAM, Mccallum, Male,
13.0, 44203, Ohio, BARBERTON, 330, 706, 4286, 24 WAYNE, MARGARITA, Summer, Female,
14.0, 12180, New York, Troy, 518, 283, 7039, 11 CLARK, HARVEY, Smith, Male,
15.0, 83702, Idaho, Boise, 208, 460, 9159, 14 STEWART, NATALIE, Miller, Female,
16.0, 76273, Texas, WHITESBORO, 903, 564, 9414, 10 HAWKINS, LUKE, Huerta, Male,
17.0, 43062, Ohio, Pataskala, 740, 927, 7808, 21 MAIN, TAMARA, Haley, Female,
18.0, 92301, California, EL MIRAGE, 760, 388, 9471, 1 SHERMAN, LAUREN, Bray, Female,
19.0, 75040, Texas, Garland, 214, 495, 4604, 65 GREEN OAKS, TIMOTHY, Flores, Male,
20.0, 48823, Michigan, East Lansing, 517, 978, 6138, 83 MARIETTA, CARMELA, Delgado, Female,
21.0, 77015, Texas, Houston, 713, 453, 7110, 34 ROCHESTER, DOLLY, Rayford, Female,
22.0, 44137, Ohio, MAPLE HTS, 216, 584, 6618, 111 STEFANIK, KENNETH, Foster, Male,
23.0, 93638, California, Madera, 559, 674, 6579, 14 MELBA, ANTHONY, Tyner, Male,
24.0, 29576, South Carolina, BURGESS, 843, 436, 3300, 7 MOULTRIE, WILLIAM, Evers, Male,
25.0, 33165, Florida, Miami, 305, 552, 8166, 800 33RD, HEIDI, Laird, Female,
26.0, 79915, Texas, El Paso, 915, 598, 9348, 50 VINSON, GUADALUPE, Mack, Female,
27.0, 45202, Ohio, Cincinnati, 317, 348, 1946, 6 TRI STATE BLDG, VIRGINIA, Martinez, Female,
28.0, 17055, Pennsylvania, Mechanicsburg, 717, 795, 6609, 108 CIDER PRESS, MARC, Green, Male,
29.0, 70764, Louisiana, Plaquemine, 225, 685, 6246, 5 CONSTITUTION, ROBERT, Jefferson, Male,
30.0, 32174, Florida, Ormond Beach, 386, 673, 1404, 27 SAND CREEK, ROBERT, Barry, Male,
31.0, 47933, Indiana, Crawfordsville, 765, 230, 0510, 46 PINE, CARL, Cassidy, Male,
32.0, 55105, Minnesota, Saint Paul, 651, 690, 3539, 204 SARATOGA, FRANK, Hoyer, Male,
33.0, 55063, Minnesota, Pine City, 320, 629, 9959, 5 568TH, JOLENE, Cusson, Female,
34.0, 47250, Indiana, Madison, 812, 265, 8211, 35 WESTWOOD, GARY, Smith, Male,
35.0, 78411, Texas, Corpus Christi, 361, 634, 2207, 89 LINCOLN, JOHN, White, Male,
36.0, 28212, North Carolina, CHARLOTTE, 704, 568, 8482, 87 GRAFTON, SARAH, Pry, Female,
37.0, 76051, Texas, Grapevine, 817, 778, 5453, 16 KIMBERLY, LEAH, Gutierrez, Female,
38.0, 38134, Tennessee, Memphis, 901, 266, 3766, 31 WEDGEWICK, KAREN, Colon, Female,
39.0, 38801, Mississippi, TUPELO, 662, 691, 1760, 22 BIRCH, WALTER, Wilcoxson, Male,
40.0, 23924, Virginia, Chase City, 434, 372, 7421, 19 ROCKY MILL, ESTHER, Stahl, Female,
41.0, 35903, Alabama, Gadsden, 256, 492, 7312, 37 RALPH, BRUCE, Nagy, Male,
42.0, 11373, New York, Elmhurst, 718, 429, 4747, 699 HAMPTON, PATRICIA, Wolff, Female,
43.0, 67401, Kansas, Salina, 620, 316, 9262, 22 HAYS, TERRI, Martinez, Female,
44.0, 89433, Nevada, Sun Valley, 775, 673, 8723, 54 MERRITT, GENE, Reid, Male,
45.0, 13052, New York, DERUYTER, 315, 852, 3413, 7 MILLERS CORNERS, ZACHARY, Wilson, Male,
46.0, 35570, Alabama, HAMILTON, 205, 921, 7153, 19 MAYFLOWER, RAMONA, Rudy, Female,
47.0, 36756, Alabama, MARION, 334, 683, 7716, 8 POTATO PATCH CREEK, TALITHA, Clark, Female,
48.0, 40601, Kentucky, Frankfort, 270, 611, 7299, 25 WOODRIDGE, BILLY, Marshall, Male,
49.0, 14624, New York, Rochester, 585, 426, 8052, 38 GERALDINE, LURLENE, Moore, Female,
50.0, 89120, Nevada, Las Vegas, 702, 216, 1217, 30 LOOKOUT, JOSEPHINE, Miles, Female,
51.0, 62220, Illinois, MOUNT VERNON, 618, 356, 7155, 58 KLEE, RONALD, Elkins, Male,
52.0, 65101, Missouri, TAOS, 573, 522, 1635, 27 GRETLEIN, ALLAN, Goggans, Male,
53.0, 60477, Illinois, TINLEY PARK, 708, 614, 4489, 174 CENTURY, PEDRO, Gomez, Male,
54.0, 55369, Minnesota, SILVER LAKE, 612, 584, 0648, 198 TIMBER, NORMAN, Taylor, Male,
55.0, 37013, Tennessee, Antioch, 615, 717, 7818, 47 BURNHAM, JOSEPH, Frederick, Male,
56.0, 84078, Utah, VERNAL, 435, 401, 2706, 11 2850, MARJORIE, Gilbert, Female,
57.0, 42240, Kentucky, BLUFF SPRINGS, 270, 881, 6611, 10 LURLINGTON, ESMERALDA, Fiala, Female,
58.0, 37174, Tennessee, SPRING HILL, 615, 302, 4062, 1 SOLITUDE, LORI, Trepanier, Female,
59.0, 01803, Massachusetts, BURLINGTON, 508, 331, 3799, 36 MARRETT, WILLIAM, Smith, Male,
60.0, 95542, California, Garberville, 707, 923, 7134, 16 DINOSAUR VALLEY, KIMBERLY, Steinbach, Female,
61.0, 12095, New York, Johnstown, 518, 736, 1840, 41 DECKER, EMMA, Smith, Female,
62.0, 70506, Louisiana, Lafayette, 337, 489, 0504, 0 PETUNIA, MARVIN, Sizemore, Male,
63.0, 28753, North Carolina, MARSHALL, 828, 649, 4547, 9 WHISPERING PINES, JENNIFER, Mattson, Female,
64.0, 05156, Vermont, SPRINGFIELD, 802, 885, 3474, 33 DEWEY, STACY, Woodard, Female,
65.0, 36303, Alabama, Dothan, 334, 699, 6629, 8 SHIRLEY, DOROTHY, Meade, Female,
66.0, 29455, South Carolina, JOHNS ISLAND, 843, 243, 4782, 14 BEACHWALKER, CYNTHIA, Swims, Female,
67.0, 92014, California, DEL MAR, 858, 509, 0988, 47 SOLANA, ELIZABETH, Turner, Female,
68.0, 42071, Kentucky, Murray, 270, 761, 7743, 19 DUSKY, BILL, Buckner, Male,
69.0, 37415, Tennessee, Chattanooga, 423, 875, 9435, 25 TRAILHEAD, JADE, Napoli, Female,
70.0, 85641, Arizona, VAIL, 520, 647, 3207, 7 PLACITA DEL MOVTIVO, MARK, Josephs, Male,
71.0, 75093, Texas, Plano, 972, 634, 3710, 42 CHARLES, WALTER, Skidmore, Male,
72.0, 30263, Georgia, Newnan, 678, 423, 4845, 2 MELVIN PHILLIPS, MARGARITA, Callaway, Female,
73.0, 70634, Louisiana, Deridder, 337, 460, 3497, 3 BRIAR, WANDA, Akers, Female,
74.0, 70047, Louisiana, DESTREHAN, 985, 603, 6665, 18 MEADOWS, MELISSA, Alexander, Female,
75.0, 02780, Massachusetts, Taunton, 508, 243, 3310, 43 WAGON WHEEL, LENNA, Howard, Female,
76.0, 97116, Oregon, Forest Grove, 503, 357, 8561, 56 CONCORD, HEATHER, Balke, Female,
77.0, 80112, Colorado, Centennial, 719, 459, 4524, 138 CONTROL TOWER, MICHAEL, Roberts, Male,
78.0, 11375, New York, Forest Hills, 347, 555, 6802, 101 JUNO, DANA, Shelton, Female,
79.0, 97420, Oregon, COOS BAY, 541, 707, 8188, 6 MERRITT, MARGARET, Ward, Female,
80.0, 98284, Washington, Sedro Woolley, 360, 854, 7721, 41 HAWTHORNE, JONATHON, Wade, Male,
81.0, 87111, New Mexico, Albuquerque, 505, 280, 1656, 37 WINNETKA, NICOLE, Zielinski, Female,
82.0, 32217, Florida, JACKSONVILLE, 904, 419, 5847, 57 SAN JOSE MANOR, ORA, Langlinais, Female,
83.0, 32778, Florida, Tavares, 352, 343, 4248, 6 KELLOGG, MICHAEL, Nelms, Male,
84.0, 08753, New Jersey, EAST DOVER, 732, 736, 2193, 53 LILAC, STEPHEN, Root, Male,
85.0, 32218, Florida, Jacksonville, 904, 696, 0900, 19 VAN DARIEN, VIRGINIA, Madrid, Female,
86.0, 12550, New York, NEWBURGH, 845, 569, 9317, 29 PATTON, HEATHER, Keller, Female,
87.0, 71105, Louisiana, Shreveport, 318, 546, 6865, 38 CHARLES, MAURICIO, Vanness, Male,
88.0, 44281, Ohio, SHARON CENTER, 330, 334, 1963, 17 HATCH, BEVERLY, Campbell, Female,
89.0, 62234, Illinois, COLLINSVILLE, 618, 344, 6613, 26 SU ANDRA, BETTY, Richey, Female,
90.0, 44212, Ohio, Brunswick, 330, 273, 8271, 14 ALDERWOOD, SUZANNE, Hernandez, Female,
91.0, 46516, Indiana, Elkhart, 260, 237, 0166, 0 LEXINGTON, JOANNE, Lopez, Female,
92.0, 10016, New York, MANHATTAN, 212, 779, 7987, 82 MOUNT CARMEL, SUSAN, Thomas, Female,
93.0, 59047, Montana, Livingston, 406, 220, 6967, 21 COYOTE, FRANK, Libby, Male,
94.0, 12428, New York, Ellenville, 845, 210, 3435, 16 HELEN, JOSEPH, Dinwiddie, Male,
95.0, 32011, Florida, CALLAHAN, 904, 879, 3599, 14 LEE, BRANDON, Overstreet, Male,
96.0, 56301, Minnesota, ST CLOUD, 320, 263, 8713, 53 DIVISION, JOSEPH, White, Male,
97.0, 75034, Texas, Frisco, 214, 419, 2998, 3 MASSA, JESSIE, Crowder, Male,
98.0, 92054, California, Oceanside, 760, 763, 7338, 84 HICKS, MARCUS, Ali, Male,
99.0, 78223, Texas, SAN ANTONIO, 210, 633, 1750, 11 OTONO, BRUCE, Brown, Male,
100.0, 54481, Wisconsin, Stevens Point, 715, 805, 7947, 44 PHILLIPS, VERNON, Mcnulty, Male,
101.0, 28405, North Carolina, Wilmington, 910, 681, 0658, 18 CLOVER, DOROTHY, Roy, Female,
102.0, 85541, Arizona, Payson, 928, 238, 3145, 11 COLUMBINE, CRYSTAL, Schlegel, Female,
103.0, 35085, Alabama, JEMISON, 205, 688, 6732, 4 OLD MARS HILL, IRENE, Esqueda, Female,
104.0, 72455, Arkansas, Pocahontas, 870, 248, 7523, 9 HAPPY, JOLENE, Hirsch, Female,
105.0, 72206, Arkansas, LITTLE ROCK, 501, 261, 7152, 36 NEELY, ALAN, Melton, Male,
106.0, 77002, Texas, HOUSTON, 936, 261, 0304, 36 DREW, PAULA, Allen, Female,
107.0, 48346, Michigan, CLARKSTON, 248, 620, 7177, 28 ROCKCROFT, ARTURO, Lux, Male,
108.0, 78123, Texas, MCQUEENEY, 830, 557, 8997, 7 FM 78, GRACE, Johnson, Female,
109.0, 80111, Colorado, Greenwood Village, 303, 712, 3201, 133 DALLAS, SILVIA, James, Female,
110.0, 98444, Washington, Tacoma, 253, 537, 3245, 48 127TH, FRED, Dalley, Male,
111.0, 72012, Arkansas, BEEBE, 501, 882, 4344, 13 PENNSYLVANIA, LARRY, Higham, Male,
112.0, 48009, Michigan, Birmingham, 248, 554, 5308, 49 RANDALL, ELIZABETH, Jones, Female,
113.0, 60477, Illinois, TINLEY PARK, 708, 444, 0283, 34 BORMET, CHARLES, Flannery, Male,
114.0, 60540, Illinois, NAPERVILLE, 630, 637, 5766, 62 LAMONT, VERA, Friend, Female,
115.0, 08234, New Jersey, Egg Harbor Township, 609, 547, 0250, 22 BERKSHIRE, SANDRA, Rowe, Female,
116.0, 63080, Missouri, SULLIVAN, 573, 434, 7317, 3 HARVEYS, KRISTY, Cody, Female,
117.0, 27403, North Carolina, Greensboro, 336, 854, 1512, 64 EMERYWOOD, JANELLE, Sinclair, Female,
118.0, 27705, North Carolina, DURHAM, 919, 254, 6005, 48 STEPHEN SCARLETT, GARY, Major, Male,
119.0, 90807, California, Long Beach, 562, 981, 7301, 15 BURLINGHALL, MICHAEL, Powers, Male,
120.0, 88001, New Mexico, Las Cruces, 505, 202, 6852, 29 VISTA CUESTA, WILLIE, Wilson, Male,
121.0, 14086, New York, Lancaster, 716, 685, 6233, 36 RICHMOND, JAMIE, Walker, Female,
122.0, 36104, Alabama, Montgomery, 229, 329, 9382, 31 STRIBLING, KAY, Lamm, Female,
123.0, 02760, Massachusetts, NORTH ATTLEBORO, 508, 643, 7699, 27 FREDERICK A NITTEL, RORY, Denn, Male,
124.0, 91711, California, Claremont, 909, 624, 0398, 23 DRAKE, SCOTT, Moore, Male,
125.0, 95307, California, MODESTO, 209, 558, 0643, 45 LINDA, SANDRA, Villegas, Female,
126.0, 96821, Hawaii, Honolulu, 808, 373, 7622, 93 UHI, PATRICK, Alger, Male,
127.0, 70748, Louisiana, JACKSON, 225, 634, 3071, 27 EDDIE ROBINSON, CAROLINE, Henderson, Female,
128.0, 29681, South Carolina, Simpsonville, 864, 963, 2778, 18 REINHARDT, MARIANA, Shively, Female,
129.0, 83641, Idaho, MELBA, 208, 495, 5333, 17 MAJESTIC, KATHLEEN, Reid, Female,
130.0, 94122, California, San Francisco, 415, 664, 7323, 786 15TH, CHRISTINA, Bixler, Female,
131.0, 49286, Michigan, Tecumseh, 517, 423, 2354, 17 OTTAWA, CHARLES, Moeller, Male,
132.0, 18013, Pennsylvania, NORTHAMPTON, 610, 498, 4188, 56 JACKTOWN, ESTHER, Rodriquez, Female,
